,Number,Strain,Max.Parasitemia,Max.Weight.Delta,Max.RBC.Delta,Max.Temp.Delta,Immune.Intensity,Max.Parasitemia.zscore,Max.Weight.Delta.zscore,Max.RBC.Delta.zscore,Max.Temp.Delta.zscore,Immune.Intensity.zscore,IAV_log_titre,IAV_weight,IAV_clinical,IAV_airway_infiltration,cov_titre, cov_weight,cov_survival,TB_ave_weight,TB_ave_log_spleen_cfu,TB_ave_log_lung_cfu
0,53,A/J,0.3713,4.299999999999997,13098.0,8.900000000000002,4315.7076,0.7149436318604664,1.957946914719736,0.140214605754325,1.8356461895832368,0.2257168324360048,5.0,85.7,1.14,1.17,107500.0,95.64,1.0,-29.8,5.883,7.5335
0,54,A/J,0.3628,3.799999999999997,14123.0,12.3,4614.136,0.6404939520022485,1.5849738735518948,0.4997371187363991,3.087459513753022,0.4315704165483159,5.0,85.7,1.14,1.17,107500.0,95.64,1.0,-29.8,5.883,7.5335
0,55,A/J,0.3413,5.800000000000001,12395.0,10.900000000000002,5476.9058,0.4521800558902857,3.0768660382232627,-0.1063652251006973,2.57200696850664,1.0267022994182484,5.0,85.7,1.14,1.17,107500.0,95.64,1.0,-29.8,5.883,7.5335
0,56,A/J,0.3199,3.8999999999999986,12327.0,8.900000000000002,8460.279,0.2647420383648906,1.659568481785464,-0.1302164747424349,1.8356461895832368,3.0846098778009123,5.0,85.7,1.14,1.17,107500.0,95.64,1.0,-29.8,5.883,7.5335
0,57,A/J,0.3996,4.199999999999999,16462.0,12.200000000000005,3638.302,0.9628172718590032,1.8833523064861697,1.3201499556779317,3.0506414748068527,-0.241552270161972,5.0,85.7,1.14,1.17,107500.0,95.64,1.0,-29.8,5.883,7.5335
0,58,C57BL/6J,0.3476,4.700000000000001,14968.0,14.9,3009.539,0.5073604068440238,2.256325347654012,0.7961239709021088,4.044728526353445,-0.6752680864422215,5.01,83.91,0.5,1.0,6350000.0,90.35,1.0,5.15,6.4626,5.752
0,59,C57BL/6J,0.282,1.5,11939.0,4.700000000000003,3782.7724,-0.0672159459441043,-0.1307021158201731,-0.26630889916882,0.2892885538440901,-0.1418977143685587,5.01,83.91,0.5,1.0,6350000.0,90.35,1.0,5.15,6.4626,5.752
0,60,C57BL/6J,0.3731,3.8999999999999986,13721.0,7.199999999999999,2857.3931,0.7307094464186769,1.659568481785464,0.3587341429131856,1.209739527498343,-0.7802171423061844,5.01,83.91,0.5,1.0,6350000.0,90.35,1.0,5.15,6.4626,5.752
0,61,C57BL/6J,0.1835,3.8999999999999986,12073.0,8.500000000000004,2734.0,-0.929956353712863,1.659568481785464,-0.2193079072277489,1.6883740337985564,-0.8653327408542073,5.01,83.91,0.5,1.0,6350000.0,90.35,1.0,5.15,6.4626,5.752
0,62,C57BL/6J,0.4703,4.0,14666.0,9.6,3353.9709,1.5820634325620615,1.7341630900190337,0.6901963621990977,2.0933724622064274,-0.437681646620767,5.01,83.91,0.5,1.0,6350000.0,90.35,1.0,5.15,6.4626,5.752
0,63,129S1/SvImJ,0.359,1.900000000000002,12461.0,7.199999999999999,6369.2828,0.607210565712692,0.1676763171141015,-0.0832154828013638,1.209739527498343,1.6422569980641923,5.75,87.09,1.1,2.67,29666.66667,90.15,1.0,-1.134333333,6.276333333,6.138333333
0,64,129S1/SvImJ,0.308,2.5,15745.0,5.399999999999999,6057.116,0.1605124865633855,0.6152439665155096,1.068659573426081,0.5470148264672797,1.4269267727207906,5.75,87.09,1.1,2.67,29666.66667,90.15,1.0,-1.134333333,6.276333333,6.138333333
0,65,129S1/SvImJ,0.3361,2.9000000000000004,14443.0,9.099999999999998,3791.1672,0.4066343693887879,0.913622399449783,0.6119782935210466,1.9092822674755752,-0.1361070467648519,5.75,87.09,1.1,2.67,29666.66667,90.15,1.0,-1.134333333,6.276333333,6.138333333
0,66,129S1/SvImJ,0.3188,1.8999999999999984,15737.0,4.400000000000002,5883.8368,0.2551073739126502,0.1676763171140989,1.065853544056465,0.1788344370055793,1.3074001312479486,5.75,87.09,1.1,2.67,29666.66667,90.15,1.0,-1.134333333,6.276333333,6.138333333
0,67,129S1/SvImJ,0.3168,3.0,13425.0,4.100000000000001,4223.196,0.2375898021813054,0.988217007683351,0.2549110562373867,0.0683803201670686,0.1619030518710037,5.75,87.09,1.1,2.67,29666.66667,90.15,1.0,-1.134333333,6.276333333,6.138333333
0,68,NOD/ShiLtJ,0.3414,2.099999999999998,12472.0,14.1,5123.341,0.4530559344768529,0.3168655335812349,-0.0793571924181415,3.750184214784085,0.7828160563664736,2.36,96.86,0.3,1.33,2428333.333,104.96,1.0,-5.606,5.001666667,5.9765
0,69,NOD/ShiLtJ,0.3786,1.3999999999999986,11428.0,13.199999999999996,3860.4724,0.7788827686798767,-0.2052967240537424,-0.4455440251530539,3.4188218642685517,-0.0883008600292043,2.36,96.86,0.3,1.33,2428333.333,104.96,1.0,-5.606,5.001666667,5.9765
0,70,NOD/ShiLtJ,0.3694,5.100000000000001,12228.0,14.1,4182.4938,0.6983019387156881,2.5547037805882855,-0.1649410881914352,3.750184214784085,0.133826991578967,2.36,96.86,0.3,1.33,2428333.333,104.96,1.0,-5.606,5.001666667,5.9765
0,71,NOD/ShiLtJ,0.3694,1.5,12463.0,14.500000000000004,7075.36,0.6983019387156881,-0.1307021158201731,-0.0825139754589597,3.897456370568767,2.1293035468510526,2.36,96.86,0.3,1.33,2428333.333,104.96,1.0,-5.606,5.001666667,5.9765
0,72,NOD/ShiLtJ,0.4325,3.8000000000000007,12345.0,13.000000000000004,4215.1496,1.250981326839634,1.5849738735518974,-0.1239029086607985,3.345185786376214,0.1563527078715675,2.36,96.86,0.3,1.33,2428333.333,104.96,1.0,-5.606,5.001666667,5.9765
0,73,NZO/HILtJ,0.2459,1.1999999999999955,14455.0,2.1000000000000014,4691.4576,-0.3834081156948877,-0.3544859405208811,0.6161873375754708,-0.6679804587563346,0.4849062535172447,1.06,99.22,0.08,0.33,2428333.333,95.59,1.0,12.21366667,6.415,6.392
0,74,NZO/HILtJ,0.1925,3.0,13865.0,0.8999999999999986,4536.5942,-0.8511272809218088,0.988217007683351,0.409242671566277,-1.1097969261103775,0.3780826873358142,1.06,99.22,0.08,0.33,2428333.333,95.59,1.0,12.21366667,6.415,6.392
0,75,NZO/HILtJ,0.2164,2.200000000000003,14491.0,1.8999999999999984,4947.8586,-0.6417922987322318,0.3914601418148069,0.6288144697387437,-0.741616536648676,0.6617696647072672,1.06,99.22,0.08,0.33,2428333.333,95.59,1.0,12.21366667,6.415,6.392
0,76,NZO/HILtJ,0.2755,2.799999999999997,13434.0,1.8999999999999984,6453.7375,-0.1241480540709762,0.8390277912162123,0.2580678392782049,-0.741616536648676,1.700513191811604,1.06,99.22,0.08,0.33,2428333.333,95.59,1.0,12.21366667,6.415,6.392
0,77,NZO/HILtJ,0.2668,2.5,15132.0,1.1000000000000014,5100.2276,-0.2003494911023289,0.6152439665155096,0.8536475729792407,-1.0361608482180362,0.7668726132121976,1.06,99.22,0.08,0.33,2428333.333,95.59,1.0,12.21366667,6.415,6.392
0,79,PWK/PhJ,0.4751,2.3000000000000007,14690.0,9.999999999999996,3437.8836,1.6241056047172906,0.4660547500483735,0.6986144503079463,2.2406446179911064,-0.3797993202485412,2.01,97.39,0.0,1.5,1750.0,73.81,2.0,0.170333333,6.888333333,6.573333333
0,80,PWK/PhJ,0.5724,0.0,12680.0,9.8,6046.1496,2.476335469447242,-1.2496212393236972,-0.0064004288081207,2.1670085400987675,1.4193622354823463,2.01,97.39,0.0,1.5,1750.0,73.81,2.0,0.170333333,6.888333333,6.573333333
0,82,PWK/PhJ,0.6202,1.5999999999999996,14252.0,11.1,4461.0231,2.895005433826396,-0.0561075075866051,0.5449843423214601,2.64564304639898,0.3259543316219824,2.01,97.39,0.0,1.5,1750.0,73.81,2.0,0.170333333,6.888333333,6.573333333
0,83,CAST/EiJ,0.4676,0.9000000000000004,14286.0,8.3,3206.185,1.5584147107247452,-0.5782697652215825,0.5569099671423289,1.6147379559062152,-0.5396232084703212,,,,,,,,,,
