,Number,Strain,Max.Parasitemia,Max.Weight.Delta,Max.RBC.Delta,Max.Temp.Delta,Immune.Intensity,Max.Parasitemia.zscore,Max.Weight.Delta.zscore,Max.RBC.Delta.zscore,Max.Temp.Delta.zscore,Immune.Intensity.zscore
0,1,DO,0.166340509,3.6000000000000014,10718.0,2.0,6149.925635359,-1.0802526609458005,1.4357846570847617,-0.6945791317064907,-0.7047984977025052,1.490946135753286
0,2,DO,0.283146067,2.400000000000002,11555.0,2.5999999999999943,3675.223907,-0.057177790503390176,0.5406493582819429,-0.400998308910397,-0.4838902640254864,-0.21608382651447944
0,3,DO,0.294363257,7.100000000000001,11335.0,3.5,5585.013101844,0.04107117472117464,4.046595945259651,-0.47816411657484215,-0.15252791350995287,1.1012738735489231
0,4,DO,0.245700246,1.9000000000000021,9892.0,3.3999999999999986,4646.806047965,-0.3851577182066993,0.16767631711410155,-0.9843016641193619,-0.18934595245612354,0.4541059609761127
0,5,DO,0.407407407,4.0,12304.0,3.8000000000000043,5979.0,1.0312006779381568,1.7341630900190335,-0.13828380918008149,-0.04207379667144081,1.3730429648240983
0,6,DO,0.319915254,3.6999999999999993,12886.0,4.799999999999997,6290.0000022,0.2648756448844853,1.5103792653183281,0.06585482745949611,0.3261065927902582,1.5875683421400861
0,7,DO,0.417558887,4.5,13297.0,9.700000000000003,4090.5483854149998,1.1201153174778158,2.107136131186875,0.21001458632352774,2.1301905011525983,0.07040376129989628
0,8,DO,0.279707495,2.0,11966.0,3.3000000000000043,2516.918031003,-0.08729550633508826,0.24227092534766823,-0.2568385500463654,-0.22616399140229163,-1.0150741909447145
0,9,DO,0.35483871,6.100000000000001,13290.0,6.0,3241.48009893,0.5707627176777271,3.3006498629239682,0.20755931062511357,0.7679230601443012,-0.5152769243487727
0,10,DO,0.287128713,1.8999999999999986,15231.0,2.1000000000000014,5746.26732638,-0.022294647010612526,0.1676763171140989,0.888372186428241,-0.6679804587563346,1.2125057806797017
0,11,DO,0.208747515,2.549999999999997,12743.0,2.200000000000003,5134.590554136,-0.7088187761875041,0.6525412706322916,0.015697052477606773,-0.631162419810164,0.790575911120783
0,12,DO,0.266055046,1.6000000000000014,12060.0,1.8999999999999986,3563.62099061,-0.20687438366810498,-0.056107507586603794,-0.2238677049533752,-0.741616536648676,-0.29306664831115853
0,13,DO,0.296610169,3.099999999999998,11513.0,1.3999999999999986,2933.3012069799997,0.060751395788184885,1.0628116159169176,-0.415729963100882,-0.9257067313795267,-0.7278563218044708
0,14,DO,0.252358491,2.8999999999999986,11961.0,2.3999999999999986,5869.969259175,-0.32683957601051344,0.9136223994497816,-0.2585923184023755,-0.5575263419178251,1.2978344096824073
0,15,DO,0.199494949,4.5,8599.0,2.6000000000000014,2735.381316641,-0.7898600204895075,2.107136131186875,-1.4378261609835783,-0.4838902640254838,-0.8643799194024158
0,16,DO,0.374677003,2.1000000000000014,12548.0,2.5,3657.9844955,0.7445220780052005,0.31686553358123754,-0.05269991340678779,-0.5207083029716545,-0.22797543818837515
0,17,DO,0.457013575,1.0,9299.5,2.6000000000000014,6265.30952505,1.4656904810667413,-0.5036751569880145,-1.1921232143065608,-0.4838902640254838,1.5705370434608363
0,18,DO,0.286637931,3.419999999999998,11034.0,1.7999999999999972,4350.827586368,-0.02659330145533881,1.3015143622643364,-0.5837409716066512,-0.7784345755948466,0.24994232527726382
0,19,DO,0.273550725,1.6000000000000014,9263.0,2.1000000000000014,2758.695657518,-0.14122133638928566,-0.056107507586603794,-1.2049257233054347,-0.6679804587563346,-0.8482978687974914
0,20,DO,0.297650131,4.300000000000001,12620.0,1.8999999999999986,3876.187987271,0.06986020025462163,1.9579469147197388,-0.027445649080242104,-0.741616536648676,-0.0774603704304759
0,21,DO,0.466666667,2.8000000000000007,11931.0,15.299999999999997,6172.457785938001,1.5502398468363792,0.839027791216215,-0.2691149285384362,4.192000682138126,1.5064886375877147
0,22,DO,0.377398721,4.030000000000001,12203.0,5.5,6764.305232915,0.7683610231539473,1.7565414724891049,-0.17370992997148585,0.5838328654134504,1.9147403931442766
0,23,DO,0.277922078,3.1999999999999993,12167.0,5.0000000000000036,4175.906493246,-0.1029335915190196,1.137406224150487,-0.1863370621347587,0.3997426706826009,0.12928311872719345
