Batch,Mouse.ID,Strain,Day,Weight,Weight.Percent.Loss,Temperature,Temperature.Delta,RBC,Infected.,Parasitemia,Parasite.Density,Blood.Glucose
Albus,A1,DO,0,25.5,0,36.7,0,6.56,Infected,0,0,
Albus,A2,DO,0,18.6,0,37.3,0,7.6245,Infected,0,0,
Albus,A3,DO,0,31.5,0,38.4,0,7.419,Infected,0,0,
Albus,A4,DO,0,23.3,0,37.9,0,7.171,Infected,0,0,
Albus,A5,DO,0,22.2,0,37.6,0,7.007,Infected,0,0,
Albus,A6,DO,0,25.8,0,36.9,0,7.554,Infected,0,0,
Albus,A7,DO,0,20.8,0,38.1,0,7.594,Infected,0,0,
Albus,A8,DO,0,30,0,37.1,0,8.035,Infected,0,0,
Albus,A9,DO,0,31,0,36.9,0,7.4225,Infected,0,0,
Albus,A10,DO,0,25,0,38.1,0,8.6215,Infected,0,0,
Albus,A11,DO,0,24.4,0,38.6,0,8.0425,Infected,0,0,
Albus,A12,DO,0,26.5,0,37.5,0,7.515,Infected,0,0,
Albus,A13,DO,0,20.9,0,36.6,0,7.574,Infected,0,0,
Albus,A14,DO,0,28.9,0,38.5,0,7.503,Infected,0,0,
Albus,A15,DO,0,25.4,0,37.6,0,6.8785,Infected,0,0,
Albus,A16,DO,0,23.3,0,38.5,0,7.024,Infected,0,0,
Albus,A17,DO,0,19.4,0,38.9,0,5.512,Infected,0,0,
Albus,A18,DO,0,27.4,0,37.3,0,6.841,Infected,0,0,
Albus,A19,DO,0,23.1,0,37.5,0,7.553,Infected,0,0,
Albus,A20,DO,0,31.3,0,37,0,8.1395,Infected,0,0,
Albus,A21,DO,0,28.7,0,38.9,0,6.648,Infected,0,0,
Albus,A22,DO,0,23.1,0,38.2,0,7.024,Infected,0,0,
Albus,A23,DO,0,24.2,0,33.7,0,7.003,Infected,0,0,
Albus,A24,DO,0,28,0,38.8,0,8.161,Infected,0,0,
Albus,A25,DO,0,17,0,38.2,0,8.826,Infected,0,0,
Albus,A26,DO,0,23.9,0,37.2,0,9.4005,Infected,0,0,
Albus,A27,DO,0,23.1,0,38.2,0,6.7495,Infected,0,0,
Albus,A28,DO,0,45.9,0,36.7,0,8.605,Infected,0,0,
Albus,A29,DO,0,27.2,0,37.8,0,7.94,Infected,0,0,
Albus,A30,DO,0,22.6,0,37.3,0,8.4735,Infected,0,0,
Albus,A31,DO,0,23.8,0,36.2,0,9.168,Infected,0,0,
Albus,A32,DO,0,29.7,0,37.5,0,7.693,Infected,0,0,
Albus,A33,DO,0,22.4,0,38.9,0,8.241,Infected,0,0,
Albus,A34,DO,0,25.1,0,36.9,0,9.13,Infected,0,0,
Albus,A35,DO,0,32.7,0,36.1,0,8.6095,Infected,0,0,
Albus,A36,DO,0,20.3,0,37.5,0,9.485,Infected,0,0,
Albus,A37,DO,0,25.2,0,36.9,0,8.9355,Infected,0,0,
Albus,A38,DO,0,26.5,0,35.8,0,7.489,Infected,0,0,
Albus,A39,DO,0,23.3,0,37.9,0,8.779,Infected,0,0,
Albus,A40,DO,0,23.3,0,37.1,0,8.1875,Infected,0,0,
Albus,A41,DO,0,27.2,0,36.2,0,8.522,Infected,0,0,
Albus,A42,DO,0,33.8,0,34.9,0,7.3335,Infected,0,0,
Albus,A43,DO,0,26.3,0,36.8,0,9.405,Infected,0,0,
Albus,A44,DO,0,24.8,0,37.7,0,9.46,Infected,0,0,
Albus,A45,DO,0,33.9,0,38,0,9.284,Infected,0,0,
Albus,A46,DO,0,26.9,0,37.1,0,9.5095,Infected,0,0,
Albus,A47,DO,0,29,0,36.6,0,8.6155,Infected,0,0,
Albus,A48,DO,0,23.6,0,36.2,0,8.534,Infected,0,0,
Albus,A49,DO,0,29.4,0,31.6,0,9.6835,Infected,0,0,
Albus,A52,DO,0,24.1,0,36.6,0,10.858,Infected,0,0,
Albus,A1,DO,5,24.8,-0.02745098,38.1,1.4,5.745,Infected,0,0,
Albus,A2,DO,5,18.6,0,37.4,0.1,5.6195,Infected,0.029787,167388.0465,
Albus,A3,DO,5,30.7,-0.025396825,37.8,-0.6,6.478,Infected,0.055944056,362405.5944,
Albus,A4,DO,5,24.2,0.038626609,36.7,-1.2,8.2655,Infected,0.0375,309956.25,
Albus,A5,DO,5,22.2,0,37.4,-0.2,6.998,Infected,0,0,
Albus,A6,DO,5,26.3,0.019379845,35.5,-1.4,6.671,Infected,0.032315978,215579.8923,
Albus,A7,DO,5,20.8,0,37.8,-0.3,6.47,Infected,0.028806584,186378.6008,
Albus,A8,DO,5,30.3,0.01,36.4,-0.7,7.6665,Infected,0.018595041,142558.8843,
Albus,A9,DO,5,31.3,0.009677419,37.5,0.6,7.4685,Infected,0.047258979,352953.6862,
Albus,A10,DO,5,24.4,-0.024,36.1,-2,9.065,Infected,0.0275,249287.5,
Albus,A11,DO,5,24.1,-0.012295082,38.5,-0.1,7.167,Infected,0.052154195,373789.1156,
Albus,A12,DO,5,26.6,0.003773585,37.6,0.1,5.6845,Infected,0.00856531,48689.50749,
Albus,A13,DO,5,20,-0.043062201,36.9,0.3,7.9375,Infected,0.026923077,213701.9231,
Albus,A14,DO,5,28.6,-0.010380623,37.6,-0.9,7.6685,Infected,0.014028056,107574.1483,
Albus,A15,DO,5,24.4,-0.039370079,37.3,-0.3,6.092,Infected,0.03125,190375,
Albus,A16,DO,5,23.1,-0.008583691,37.9,-0.6,5.6935,Infected,0.023255814,132406.9767,
Albus,A17,DO,5,19.2,-0.010309278,38.3,-0.6,5.3345,Infected,0.085714286,457242.8571,
Albus,A18,DO,5,26.4,-0.03649635,36.1,-1.2,6.31,Infected,0.041758242,263494.5055,
Albus,A19,DO,5,22.8,-0.012987013,36.6,-0.9,6.3635,Infected,0.019230769,122375,
Albus,A20,DO,5,30.1,-0.038338658,36,-1,8.931,Infected,0.011363636,101488.6364,
Albus,A21,DO,5,28.9,0.006968641,37,-1.9,5.154,Infected,0.06639839,342217.3038,
Albus,A22,DO,5,24.2,0.038327526,37.5,-0.7,7.758,Infected,0.053648069,416201.7167,
Albus,A23,DO,5,24.2,0,35.7,2,7.6465,Infected,0.040472175,309470.489,
Albus,A24,DO,5,27.7,-0.010714286,37.9,-0.9,7.091,Infected,0.035545024,252049.763,
Albus,A25,DO,5,16.8,-0.011764706,37.9,-0.3,8.6475,Infected,0.027842227,240765.6613,
Albus,A26,DO,5,24.23,0.013807531,37.5,0.3,8.4865,Infected,0.012173913,103313.913,
Albus,A27,DO,5,23.6,0.021645022,36.9,-1.3,7.639,Infected,0.023178808,177062.9139,
Albus,A28,DO,5,46.38,0.010457516,36.3,-0.4,8.3645,Infected,0.017953321,150170.5566,
Albus,A29,DO,5,26.82,-0.013970588,38.4,0.6,8.3395,Infected,0.018552876,154721.7069,
Albus,A30,DO,5,24.2,0.07079646,36.6,-0.7,7.391,Infected,0.039316239,290586.3248,
Albus,A31,DO,5,24.98,0.049579832,35.3,-0.9,9.3015,Infected,0.027079304,251878.1431,
Albus,A32,DO,5,29.28,-0.014141414,35.7,-1.8,8.692,Infected,0.041904762,364236.1905,
Albus,A33,DO,5,22.51,0.004910714,39.5,0.6,10.1045,Infected,0.022900763,231400.7634,
Albus,A34,DO,5,25.74,0.025498008,38.9,2,8.381,Infected,0.009416196,78917.13748,
Albus,A35,DO,5,34.71,0.06146789,37.3,1.2,7.787,Infected,0.008016032,62420.84168,
Albus,A36,DO,5,19.89,-0.020197044,35.8,-1.7,9.502,Infected,0,0,
Albus,A37,DO,5,24.9,-0.011904762,36.3,-0.6,8.0105,Infected,0.002061856,16516.49485,
Albus,A38,DO,5,27.82,0.049811321,37,1.2,7.5645,Infected,0.01039501,78633.05613,
Albus,A39,DO,5,23.99,0.029613734,38.2,0.3,8.016,Infected,0.031674208,253900.4525,
Albus,A40,DO,5,23.95,0.027896996,38,0.9,8.3365,Infected,0.014644351,122082.636,
Albus,A41,DO,5,29.4,0.080882353,36.6,0.4,8.2115,Infected,0.018,147807,
Albus,A42,DO,5,34.52,0.021301775,36.2,1.3,7.267,Infected,0.03646833,265015.3551,
Albus,A43,DO,5,24.75,-0.058935361,38.5,1.7,9.076,Infected,0.015238095,138300.9524,
Albus,A44,DO,5,24.5,-0.012096774,36.9,-0.8,8.0005,Infected,0.017391304,139139.1304,
Albus,A45,DO,5,35.17,0.037463127,37.1,-0.9,8.3995,Infected,0.006237006,52387.73389,
Albus,A46,DO,5,27.6,0.026022305,36.2,-0.9,8.4295,Infected,0.007936508,66900.79365,
Albus,A47,DO,5,31.37,0.081724138,36.7,0.1,7.461,Infected,0.022608696,168683.4783,
Albus,A48,DO,5,24.61,0.04279661,37.2,1,9.172,Infected,0,0,
Albus,A49,DO,5,31.18,0.060544218,31.9,0.3,8.3995,Infected,0.013779528,115741.1417,
Albus,A52,DO,5,24.22,0.004979253,35.7,-0.9,7.633,Infected,0.018099548,138153.8462,
Albus,A1,DO,6,24.5,-0.039215686,36.4,-0.3,3.23275,Infected,0.007072136,22862.44696,
Albus,A2,DO,6,18.3,-0.016129032,37.6,0.3,5.574,Infected,0.077889447,434155.7789,
Albus,A3,DO,6,30.1,-0.044444444,37.9,-0.5,6.2915,Infected,0.159793814,1005342.784,
Albus,A4,DO,6,24.2,0.038626609,36.7,-1.2,7.805,Infected,0.100616016,785308.0082,
Albus,A5,DO,6,22,-0.009009009,37.2,-0.4,4.0085,Infected,0,0,
Albus,A6,DO,6,25.5,-0.011627907,37.2,0.3,6.5055,Infected,0.173302108,1127416.862,
Albus,A7,DO,6,20.5,-0.014423077,38.4,0.3,5.5215,Infected,0.071553229,395081.1518,
Albus,A8,DO,6,30.2,0.006666667,34.9,-2.2,8.4815,Infected,0.056856187,482225.7525,
Albus,A9,DO,6,30.1,-0.029032258,38,1.1,6.7805,Infected,0.071895425,487486.9281,
Albus,A10,DO,6,24.7,-0.012,36.5,-1.6,7.25,Infected,0.068062827,493455.4974,
Albus,A11,DO,6,23.6,-0.032786885,38.4,-0.2,5.8855,Infected,0.13125,772471.875,
Albus,A12,DO,6,26.2,-0.011320755,36.6,-0.9,5.3545,Infected,0.026,139217,
Albus,A13,DO,6,19.9,-0.04784689,37,0.4,6.354,Infected,0.079150579,502922.7799,
Albus,A14,DO,6,28.3,-0.020761246,38.3,-0.2,7.3265,Infected,0.053763441,393897.8495,
Albus,A15,DO,6,23.9,-0.059055118,36.4,-1.2,5.908,Infected,0.084745763,500677.9661,
Albus,A16,DO,6,22.5,-0.034334764,36.6,-1.9,6.3905,Infected,0.093681917,598674.2919,
Albus,A17,DO,6,19.1,-0.015463918,36.7,-2.2,1.69325,Infected,0.3003663,508595.2381,
Albus,A18,DO,6,26.3,-0.040145985,36.7,-0.6,6.414,Infected,0.163064833,1045897.839,
Albus,A19,DO,6,22.2,-0.038961039,36.7,-0.8,7.938,Infected,0.075757576,601363.6364,
Albus,A20,DO,6,29.8,-0.047923323,36.4,-0.6,8.4445,Infected,0.046979866,396721.4765,
Albus,A21,DO,6,29.3,0.020905923,38.1,-0.8,5.328,Infected,0.211302211,1125818.182,
Albus,A22,DO,6,23.9,0.027874564,37.9,-0.3,6.8095,Infected,0.168067227,1144453.782,
Albus,A23,DO,6,24.5,0.012396694,35.4,1.7,6.302,Infected,0.150712831,949792.2607,
Albus,A24,DO,6,27.8,-0.007142857,38.1,-0.7,8.2045,Infected,0.113168724,928492.7984,
